PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,4,0,50,astral-multi,0
10000000,1E-10,4,0,50,astral-multi-w-true,0
10000000,1E-10,4,0,50,apro,0
10000000,1E-10,4,0,50,apro-w-true,0
10000000,1E-10,4,0,50,apro-v2,0
10000000,1E-10,4,0,50,duptree,0
10000000,1E-10,4,0,50,mulrf,0.010309
10000000,1E-10,4,0,50,stag,0.030928
10000000,1E-10,4,0,100,astral-multi,0
10000000,1E-10,4,0,100,astral-multi-w-true,0
10000000,1E-10,4,0,100,apro,0
10000000,1E-10,4,0,100,apro-w-true,0
10000000,1E-10,4,0,100,apro-v2,0
10000000,1E-10,4,0,100,duptree,0
10000000,1E-10,4,0,100,mulrf,0
10000000,1E-10,4,0,100,stag,0.030928
10000000,1E-10,4,0,500,astral-multi,0
10000000,1E-10,4,0,500,astral-multi-w-true,0
10000000,1E-10,4,0,500,apro,0
10000000,1E-10,4,0,500,apro-w-true,0
10000000,1E-10,4,0,500,apro-v2,0
10000000,1E-10,4,0,500,duptree,0
10000000,1E-10,4,0,500,mulrf,0
10000000,1E-10,4,0,500,stag,0.020619
10000000,1E-10,4,25,25,astral-multi,0.154639
10000000,1E-10,4,25,25,astral-multi-w-true,0.103093
10000000,1E-10,4,25,25,apro,0.134021
10000000,1E-10,4,25,25,apro-w-true,0.134021
10000000,1E-10,4,25,25,apro-v2,0.134021
10000000,1E-10,4,25,25,duptree,0.670103
10000000,1E-10,4,25,25,mulrf,0.185567
10000000,1E-10,4,25,25,stag,0.742268
10000000,1E-10,4,25,50,astral-multi,0.14433
10000000,1E-10,4,25,50,astral-multi-w-true,0.082474
10000000,1E-10,4,25,50,apro,0.072165
10000000,1E-10,4,25,50,apro-w-true,0.072165
10000000,1E-10,4,25,50,apro-v2,0.072165
10000000,1E-10,4,25,50,duptree,0.494845
10000000,1E-10,4,25,50,mulrf,0.103093
10000000,1E-10,4,25,50,stag,0.742268
10000000,1E-10,4,25,100,astral-multi,0.154639
10000000,1E-10,4,25,100,astral-multi-w-true,0.082474
10000000,1E-10,4,25,100,apro,0.082474
10000000,1E-10,4,25,100,apro-w-true,0.082474
10000000,1E-10,4,25,100,apro-v2,0.082474
10000000,1E-10,4,25,100,duptree,0.42268
10000000,1E-10,4,25,100,mulrf,0.082474
10000000,1E-10,4,25,100,stag,0.742268
10000000,1E-10,4,25,500,astral-multi,0.113402
10000000,1E-10,4,25,500,astral-multi-w-true,0.051546
10000000,1E-10,4,25,500,apro,0.030928
10000000,1E-10,4,25,500,apro-w-true,0.030928
10000000,1E-10,4,25,500,apro-v2,0.030928
10000000,1E-10,4,25,500,duptree,0.123711
10000000,1E-10,4,25,500,mulrf,0.051546
10000000,1E-10,4,25,500,stag,0.298969
10000000,1E-10,4,50,25,astral-multi,0.092784
10000000,1E-10,4,50,25,astral-multi-w-true,0.092784
10000000,1E-10,4,50,25,apro,0.103093
10000000,1E-10,4,50,25,apro-w-true,0.103093
10000000,1E-10,4,50,25,apro-v2,0.103093
10000000,1E-10,4,50,25,duptree,0.412371
10000000,1E-10,4,50,25,mulrf,0.103093
10000000,1E-10,4,50,25,stag,0.546392
10000000,1E-10,4,50,50,astral-multi,0.072165
